name,age,ht,wt,sex,cp60,w60,r60,cp75,w75,r75,cp90,w90,r90,cp105,w105,r105,cp120,w120,r120,cp135,w135,r135,cp150,w150,r150,cp165,w165,r165,cp180,w180,r180,ep,wep
1,45,175,80,m,-2815.319524,1467696.832,0.972493423,-49.10045122,52304.82253,0.963557305,135.2840151,26155.47758,0.953405564,171.2567182,21936.21581,0.949960763,194.134177,19379.83091,0.945748488,203.4774729,18341.50457,0.943381924,204.6521858,18210.79366,0.942462331,211.5464646,17432.905,0.939077299,208.0586015,17836.11372,0.937202769,218.2025,16287.117
2,29,184,74,m,259.8744637,11076.84085,0.98221071,259.3224503,11110.85208,0.980354158,266.6175542,10615.23862,0.976781099,259.2818244,11142.73754,0.974091504,260.2167075,11072.95056,0.972851247,254.1021936,11550.75194,0.964901677,253.7900038,11575.9255,0.962261061,258.0186677,11232.47142,0.957563749,258.854118,11165.85411,0.954303266,269.802125,9504.43725
3,66,176,77.3,m,,,,-225.1032765,83172.98936,0.818074709,86.84446413,27023.36085,0.798253558,133.9663288,21051.22074,0.784447716,174.3900215,16346.42314,0.767480385,177.5388528,16007.7368,0.756071492,186.2874041,15022.18303,0.747754541,197.8011833,13765.3982,0.719297045,204.5887627,13061.6642,0.704909054,240.522875,6890.55675
4,45,190,73,m,191.2933354,14605.88536,0.873298522,211.9135019,13289.20012,0.871065326,223.8719379,12511.97667,0.868675875,226.8270917,12314.36213,0.867968079,230.5744366,12062.61269,0.866536244,233.6928535,11852.19434,0.865336154,236.6209392,11656.54129,0.863058746,236.011988,11697.05916,0.862475611,236.340853,11675.13142,0.861362838,236.018375,12107.69175
5,31,183,75,m,,,,-651.7574071,232974.292,0.817198087,66.24161784,45563.54216,0.801191387,195.5336803,26814.77345,0.785550308,232.4920814,22235.20422,0.778494649,251.4653628,19989.2127,0.772913124,258.0004218,19226.34934,0.769695725,261.1082851,18861.53309,0.768272967,259.592314,19045.21625,0.765511804,265.96175,18062.9295
6,33,165,64.1,m,193.9318224,12862.76126,0.969072898,186.1484828,13385.142,0.964302108,172.9555844,14333.14619,0.958971731,169.7110544,14587.19598,0.956545213,165.8996313,14901.48846,0.953035296,165.2148845,14959.63948,0.951077834,163.9168097,15075.98211,0.949413852,163.9542829,15071.74624,0.948125504,165.6954881,14912.45716,0.946275621,169.952375,14271.69975
7,53,195,93.6,m,279.821341,12158.97066,0.967485852,266.0504076,12979.64435,0.965504218,254.7544668,13731.96209,0.963937097,254.3966366,13753.83131,0.962122309,256.7011732,13583.85744,0.959667965,257.6084374,13518.34524,0.95700476,253.3132238,13844.858,0.955291983,253.6143278,13821.57787,0.953256827,253.1109972,13860.64992,0.949632231,252.56375,14394.6495
8,35,175,80.9,m,-1237.188692,452184.4048,0.905823205,1.748574906,36387.9013,0.890173775,141.8108098,18156.25638,0.877635581,169.3668621,15167.25276,0.865919008,173.388457,14742.77833,0.85799987,175.3529862,14532.39164,0.851893354,184.303751,13547.70071,0.825081226,183.9374283,13591.46298,0.81183055,182.1103179,13795.95342,0.804337201,188.34575,12888.5295
9,29,178,68.2,m,247.3675194,11576.91287,0.961316934,271.4487375,9979.038546,0.958167695,277.4249731,9577.788792,0.956703955,281.1234753,9323.514862,0.955564136,279.4187366,9445.375043,0.953842499,277.1349404,9613.40427,0.952514218,275.2894398,9754.462204,0.950708566,273.1278305,9924.506104,0.949114111,270.8201246,10112.20283,0.946807477,260.735375,12214.41375
10,57,184,79.6,m,187.3942435,15102.88687,0.948634456,189.2852779,14964.30497,0.94757403,200.3385442,14085.88883,0.943470987,200.5584515,14068.21166,0.941626983,200.0141468,14113.4409,0.941122503,200.640931,14060.22731,0.936575551,201.9286572,13941.23475,0.934044309,204.2026621,13731.76838,0.930583136,206.8747962,13487.56105,0.927817073,217.10525,11973.0765
11,46,183,83.2,m,50.64822464,38309.92677,0.846122473,169.6113066,20670.07962,0.840360825,238.4795959,12726.71068,0.831349241,255.0313508,11054.09259,0.827237985,259.1706893,10643.40543,0.824038865,261.8740006,10373.10294,0.80689137,256.8088595,10920.92533,0.802806763,254.3829169,11199.33607,0.798982904,256.3183279,10972.42596,0.796427361,257.357,10969.266
12,25,184,87,m,135.4672569,25061.83028,0.908909752,190.1521789,21600.46363,0.903242601,211.0180941,20282.33541,0.899454402,227.4803652,19249.85839,0.893375279,237.0226645,18661.41205,0.890011117,242.9691799,18297.40758,0.887295473,249.8025502,17887.5933,0.881098355,258.6638256,17373.14515,0.873341834,268.2288242,16839.1922,0.860002724,321.7263448,7539.776276
13,46,157,56.8,f,-415.248262,132421.1782,0.955935706,40.09438285,18938.84338,0.946560257,103.3022678,11070.34817,0.937091993,120.2628036,9257.422115,0.93151851,125.1929485,8739.091895,0.930116874,129.3222624,8309.972638,0.926225135,128.2876489,8419.827246,0.924189418,128.5270191,8392.647706,0.921832356,131.9647056,8011.860021,0.916176636,138.074375,7058.03175
14,27,183,77.3,m,110.9703056,34241.05708,0.874784091,163.9933342,27414.08191,0.863581169,169.2842893,26669.41296,0.858482895,217.2096771,20860.6755,0.844499108,238.1129913,18489.4577,0.830814181,245.5708749,17662.69338,0.821680442,247.238746,17478.27731,0.81284775,255.1310799,16565.81238,0.803194043,258.6102087,16169.62423,0.791226395,273.8057931,13426.86703
15,37,182,92.3,m,93.08006164,26653.98117,0.961312696,186.1566618,18776.97613,0.952974458,220.1216149,16113.67981,0.940191459,228.4771133,15500.08648,0.924604355,231.6242489,15258.54365,0.908992285,243.2391366,14361.43347,0.854737836,249.2537714,13907.39278,0.841098636,240.3895364,14590.13892,0.818842712,241.347411,14515.88489,0.761389365,221.321,18527.586
16,40,150,54.6,f,166.604521,5665.74038,0.983232211,166.5529868,5669.274419,0.981733111,163.9512425,5795.6284,0.979087792,158.608755,6070.384312,0.973066555,154.108572,6317.142019,0.96785689,154.0423381,6320.86344,0.960487886,153.4777125,6353.111538,0.958697031,151.0791186,6493.051092,0.953729067,149.5271984,6586.097615,0.94281079,138.305375,8865.83775
17,26,165,63,f,119.375624,7776.432294,0.900728748,125.8839765,7341.546274,0.898002577,133.5388187,6834.786052,0.892153487,135.707004,6690.167849,0.885819127,136.9316184,6606.088154,0.880869157,136.6659601,6624.614154,0.877952593,136.9091211,6607.77358,0.871953619,138.9022116,6468.864209,0.864760429,140.4998601,6359.882808,0.845622315,150.028625,4850.01825
18,44,165,68.2,m,15.91984715,25688.7239,0.887731546,79.99364571,19657.66319,0.883997238,118.9294492,16160.72378,0.876076931,132.8038343,14968.63332,0.873523655,142.4889022,14135.57425,0.869814399,149.3375667,13552.37941,0.865929928,151.7231205,13350.23208,0.86450975,152.8285274,13256.47331,0.860268875,152.9813087,13243.35287,0.858284947,156.9875,12865.083
19,49,185,77.3,m,,,,,,,139.8296313,33438.39545,0.540961834,226.7926845,18509.62064,0.533990446,230.9056748,17871.70835,0.498763082,257.7821573,13969.22263,0.490719379,270.6217934,12247.54847,0.483003027,278.8325897,11193.70474,0.476846576,281.0063762,10918.91439,0.472654848,295.905125,8300.92725
20,48,190,86.4,m,277.7551556,9157.397691,0.971915946,268.1033957,9747.977601,0.966074924,261.7190497,10191.57439,0.964263769,269.9062256,9607.23634,0.954774843,265.4569924,9935.250897,0.948859454,264.0972871,10038.17607,0.943382391,265.3015526,9943.907855,0.935834842,264.8420751,9980.196569,0.932218737,264.5472161,10003.73648,0.930121663,262.179125,10741.21125
21,30,186,75,m,261.6209606,10092.92447,0.883361655,276.5558224,9037.634793,0.875997902,273.6888344,9249.40353,0.872202952,270.9726202,9458.985163,0.868707868,266.4984564,9832.842795,0.863607985,269.2189558,9597.018678,0.85398977,273.5851633,9222.706733,0.845551753,279.8385824,8707.92047,0.82577949,281.3446008,8589.018494,0.807639222,296.56925,6024.3645
22,51,175,79.6,m,92.24998277,21080.0023,0.96180179,150.9073965,17016.1745,0.955950954,168.7236633,15811.99514,0.950218824,179.9951673,15055.90087,0.94241506,181.153092,14977.75092,0.94020426,192.44684,14221.67583,0.921783095,192.8425286,14195.65194,0.920229932,196.401113,13963.0718,0.917075479,196.6443071,13947.3028,0.910801524,207.432125,12438.13725
23,42,170,75,m,-263.7380215,81673.94921,0.925262335,22.34267711,34417.41279,0.918843922,147.5157234,19655.35549,0.902671043,184.2480082,15984.06618,0.891302468,194.9643579,14951.36081,0.887104964,201.6668673,14315.17613,0.877944265,201.8106974,14300.95443,0.875072661,206.5598214,13838.18997,0.847453522,203.0170332,14188.5586,0.841472573,206.681375,13800.92175
24,55,188,82,m,240.7622601,15692.60935,0.925170004,237.2463459,16012.53139,0.923973326,232.8145358,16395.9257,0.918626477,239.2737863,15792.50678,0.916583381,253.1888094,14497.49545,0.910215079,267.1006679,13254.99472,0.89929675,267.4249216,13227.33864,0.897762059,267.9534116,13179.64223,0.895203127,269.8257872,13012.01889,0.89012409,273.960125,12585.97725
25,,,,m,193.669704,12444.83757,0.933155193,198.1209039,12099.7192,0.931451823,202.6677166,11749.77998,0.929230244,206.7730695,11431.96043,0.926281748,221.8869421,10281.29881,0.913998975,221.4588759,10314.23677,0.911387155,221.6769279,10298.03158,0.908717024,227.0978583,9895.30048,0.897586713,228.4550587,9797.369442,0.891570492,244.6201379,6982.82731
26,28,155,54.6,f,224.1121169,3142.75072,0.877102859,205.7182872,4056.893426,0.857653734,203.0861749,4209.374018,0.835849317,198.5784098,4498.826073,0.81606684,197.2964681,4588.216276,0.800487794,195.872761,4689.172276,0.779883691,191.8909944,4991.5459,0.764269276,190.4267714,5109.509176,0.750513176,191.6032994,5013.990756,0.732459017,189.991625,5473.25625
27,31,184,73.2,m,209.440508,20037.74977,0.927312137,259.8465382,16207.46782,0.923195216,278.8030942,14810.09801,0.918516786,288.3617141,14100.08458,0.91621924,293.1261797,13744.92479,0.914540521,300.7401476,13176.58822,0.910127468,302.1963404,13070.08697,0.908497924,301.6209983,13112.88482,0.906982341,299.8346592,13247.71503,0.905064525,290.2147586,15001.55421
28,30,196,85,m,-71.8243042,49550.73293,0.935869525,134.370565,28352.03766,0.926933255,181.4647943,24143.63618,0.923103914,208.9447885,21743.57827,0.917679173,223.2774422,20507.13734,0.911915557,233.1608926,19660.17078,0.90586429,236.6062786,19366.27616,0.891515575,238.6754649,19187.94304,0.885864416,240.0903563,19066.13683,0.882196349,250.513625,17670.98025
29,45,180,82,m,-32.11688336,32961.35342,0.90990101,80.27246412,23136.39979,0.903708023,122.5916457,19726.68514,0.898583252,143.6318675,18076.43702,0.894311366,157.3133873,17024.46349,0.889288097,165.6349245,16394.82817,0.882766272,169.8928888,16076.04998,0.878893584,172.2180328,15902.8508,0.876417864,173.7905429,15785.81258,0.874595066,183.465875,14494.61475
30,50,171,67.3,m,248.5074439,8917.674874,0.943524392,246.1913183,9057.882842,0.938719514,245.6438524,9091.797263,0.935220571,241.7942055,9351.04118,0.927022554,236.9188579,9697.992716,0.922778165,239.6938929,9495.666551,0.919519248,243.5845209,9217.141942,0.911577646,242.2661666,9311.163789,0.905143271,240.6620449,9427.541161,0.896462664,236.6825,10544.457
31,,,,m,-225.114011,63689.63093,0.956378929,25.04328699,25261.97909,0.947122162,99.05383495,16938.82011,0.93823589,121.6121506,14669.54005,0.931330163,134.9000667,13359.57929,0.924257994,139.2760686,12929.50672,0.918417965,146.4819371,12224.18948,0.910591704,147.7117703,12106.14579,0.906897947,148.7802638,12001.38533,0.903937421,156.265625,10925.78025
32,43,173,60,f,178.9334497,6847.826437,0.92225091,190.4456614,6014.892899,0.918708275,195.5321186,5635.561298,0.910854249,191.5580537,5939.180099,0.904741466,194.6940472,5682.332246,0.89814088,195.967565,5579.160801,0.891907383,195.3378765,5631.572716,0.885030834,193.1394382,5819.831183,0.878903677,193.76617,5764.686736,0.870551419,190.07825,6592.1625
33,30,193,91.8,m,-1316.517928,415439.7493,0.935490785,-77.88377006,52168.04032,0.924638754,66.04852073,31810.59925,0.917258217,137.0979837,23348.99319,0.907169723,163.9577918,20398.33656,0.899064739,186.9565335,17994.20323,0.879828685,195.8810782,17081.86474,0.868451998,203.7694437,16300.76278,0.853309383,204.203985,16258.93669,0.845990887,221.09,13516.272
34,34,80,82,m,290.8268979,12223.53665,0.966898427,268.4669029,13505.02062,0.964077396,255.5266773,14332.20357,0.959919719,255.9577869,14303.01297,0.957817584,252.7714695,14527.4049,0.955094963,249.1861291,14792.10722,0.951880352,246.0788895,15028.76862,0.949939342,243.8167553,15205.30876,0.947220809,241.9559625,15353.21215,0.943113577,232.193931,17293.96634
